1,501,8
1,747,8
1,808,10
501,560,4
501,919,1
747,840,5
747,877,1
747,892,1
747,986,5
808,867,6
808,870,10
808,560,1
2,48,10
2,165,2
2,392,5
2,393,4
2,473,10
2,558,3
48,55,5
165,261,6
165,677,8
165,864,7
392,761,2
392,784,2
392,800,7
393,494,1
393,843,9
393,923,2
473,762,4
558,620,3
558,736,9
558,758,9
558,929,5
558,949,5
3,13,5
3,146,3
3,158,2
3,865,2
3,919,5
13,207,7
13,634,9
13,984,8
146,225,10
146,283,2
146,320,9
146,480,1
146,641,1
146,719,8
146,749,4
158,344,3
158,353,1
158,360,3
158,617,6
158,723,7
158,986,2
865,984,2
865,146,1
919,651,1
4,513,7
4,651,1
4,752,8
4,792,3
4,963,10
513,544,8
513,565,9
651,963,1
752,853,3
752,995,10
792,891,2
792,752,1
963,723,1
5,235,6
5,723,9
5,851,4
235,344,3
235,452,8
235,573,8
235,789,1
723,752,6
723,987,1
851,975,1
851,5,1
6,260,3
6,272,8
6,357,2
6,415,5
260,338,10
260,432,6
260,637,10
260,860,7
260,941,3
272,395,10
357,496,10
357,510,5
357,571,9
357,749,10
357,938,7
415,751,3
415,930,10
415,357,1
7,168,6
7,626,3
7,648,9
7,713,6
7,987,1
168,312,9
168,591,7
168,736,9
168,891,8
626,829,1
626,922,4
626,993,6
648,660,7
713,811,3
713,997,7
987,768,1
8,32,3
8,341,5
8,768,5
8,782,1
32,136,10
32,713,7
32,827,7
341,649,1
341,666,2
341,872,9
341,876,10
768,782,1
782,956,1
9,16,3
9,182,5
9,225,10
9,778,5
9,963,7
16,322,7
16,623,3
16,879,7
16,880,2
182,274,10
182,811,8
182,869,3
225,405,6
225,938,4
225,16,1
778,928,10
778,952,4
10,227,8
10,944,4
10,956,5
227,239,3
227,313,4
227,568,5
227,795,3
227,954,3
944,989,10
944,865,1
956,860,1
11,275,10
11,291,10
11,837,4
11,860,6
275,458,5
291,385,1
291,565,5
291,671,5
291,732,8
291,770,2
837,848,4
837,897,3
837,999,3
837,291,1
860,943,1
12,72,5
12,89,5
12,144,9
12,309,7
12,453,1
12,687,10
12,866,8
12,943,6
72,215,9
72,237,10
72,361,3
72,415,3
72,416,3
72,478,8
72,545,1
72,670,4
72,741,1
72,866,4
72,934,7
89,218,2
89,231,6
89,232,8
89,383,10
89,700,2
144,197,3
144,206,8
144,647,2
144,770,8
309,681,4
309,144,1
453,527,2
453,656,1
687,690,3
866,885,9
866,12,1
943,984,1
207,287,9
207,553,4
207,619,5
207,934,4
634,843,10
984,997,1
14,35,1
14,343,10
14,997,3
14,999,7
35,199,2
35,632,1
35,726,7
35,927,6
343,475,8
343,567,7
343,757,6
997,999,1
999,879,1
15,167,5
15,235,2
15,322,2
15,356,6
15,747,1
167,172,2
167,556,8
167,766,5
322,388,10
322,421,8
322,604,3
